[2026-01-21T02:35:55.458806+00:00] agent started NMS_BASE=http://192.168.137.3:8000 poll=5s limit=10
[2026-01-21T02:35:55.459215+00:00] scanner_name.txt missing/empty; will attempt registration
[2026-01-21T03:11:01.821071+00:00] still unassigned; retry in 10s
[2026-01-21T03:11:18.106067+00:00] still unassigned; retry in 10s
[2026-01-21T03:11:34.395511+00:00] still unassigned; retry in 10s
[2026-01-21T03:11:50.685248+00:00] still unassigned; retry in 10s
[2026-01-21T03:12:06.971857+00:00] still unassigned; retry in 10s
[2026-01-21T03:12:23.257886+00:00] still unassigned; retry in 10s
[2026-01-21T03:12:39.543025+00:00] still unassigned; retry in 10s
[2026-01-21T03:12:55.828933+00:00] still unassigned; retry in 10s
[2026-01-21T03:13:12.115090+00:00] still unassigned; retry in 10s
[2026-01-21T03:13:28.406647+00:00] still unassigned; retry in 10s
[2026-01-21T03:13:44.698367+00:00] still unassigned; retry in 10s
[2026-01-21T03:14:00.990032+00:00] still unassigned; retry in 10s
[2026-01-21T03:14:17.282600+00:00] still unassigned; retry in 10s
[2026-01-21T03:14:33.572214+00:00] still unassigned; retry in 10s
[2026-01-21T03:14:49.860005+00:00] still unassigned; retry in 10s
[2026-01-21T03:15:06.151794+00:00] still unassigned; retry in 10s
[2026-01-21T03:15:22.440397+00:00] still unassigned; retry in 10s
[2026-01-21T03:15:38.728233+00:00] still unassigned; retry in 10s
[2026-01-21T03:15:55.015865+00:00] still unassigned; retry in 10s
[2026-01-21T03:16:11.303491+00:00] still unassigned; retry in 10s
[2026-01-21T03:16:27.596879+00:00] still unassigned; retry in 10s
[2026-01-21T03:16:43.885019+00:00] still unassigned; retry in 10s
[2026-01-21T03:17:00.169044+00:00] still unassigned; retry in 10s
[2026-01-21T03:17:16.465267+00:00] still unassigned; retry in 10s
[2026-01-21T03:17:32.757683+00:00] still unassigned; retry in 10s
[2026-01-21T03:17:49.049217+00:00] still unassigned; retry in 10s
[2026-01-21T03:18:05.341170+00:00] still unassigned; retry in 10s
[2026-01-21T03:18:21.630035+00:00] still unassigned; retry in 10s
[2026-01-21T03:18:37.916090+00:00] still unassigned; retry in 10s
[2026-01-21T03:18:54.200886+00:00] still unassigned; retry in 10s
[2026-01-21T03:19:10.486281+00:00] still unassigned; retry in 10s
[2026-01-21T03:19:26.773884+00:00] still unassigned; retry in 10s
[2026-01-21T03:19:43.064011+00:00] still unassigned; retry in 10s
[2026-01-21T03:19:59.349712+00:00] still unassigned; retry in 10s
[2026-01-21T03:20:15.635711+00:00] still unassigned; retry in 10s
[2026-01-21T03:20:31.944074+00:00] still unassigned; retry in 10s
[2026-01-21T03:20:48.236334+00:00] still unassigned; retry in 10s
[2026-01-21T03:21:04.526722+00:00] still unassigned; retry in 10s
[2026-01-21T03:21:20.818731+00:00] still unassigned; retry in 10s
[2026-01-21T03:21:37.104993+00:00] still unassigned; retry in 10s
[2026-01-21T03:21:53.396547+00:00] still unassigned; retry in 10s
[2026-01-21T03:22:09.689938+00:00] still unassigned; retry in 10s
[2026-01-21T03:22:25.978494+00:00] still unassigned; retry in 10s
[2026-01-21T03:22:42.268258+00:00] still unassigned; retry in 10s
[2026-01-21T03:22:58.569799+00:00] still unassigned; retry in 10s
[2026-01-21T03:23:14.860247+00:00] still unassigned; retry in 10s
